model_name,target,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,overfit_indicator,cv_train_mae_mean,cv_train_mae_std,cv_test_mae_mean,cv_test_mae_std,cv_train_rmse_mean,cv_train_rmse_std,cv_test_rmse_mean,cv_test_rmse_std,cv_train_r2_mean,cv_train_r2_std,cv_test_r2_mean,cv_test_r2_std
Linear Regression,cost_per_unit_usd,0.3696615541978236,0.4776030764645477,0.995457757392273,0.37018559315697463,0.49142314290270606,0.9951563042714177,0.00030145312085538833,0.36611433029314605,0.006868328928817325,0.40085364718234934,0.030474882191619215,0.47305522798115485,0.007154232883071561,0.5179565211755026,0.02382474982795482,0.9955364727095983,0.00017180581494628838,0.994512432292644,0.000769215866825716
Decision Tree Regressor,co2_emission_per_kg_estimated,0.02866034741129692,0.04307001472291186,0.9963838642990904,0.03742537352191478,0.060573566126337845,0.9931732896874167,0.0032105746116737333,0.028360469116209857,0.0010530643257725262,0.054774204317346,0.016747893107200262,0.042444946858173176,0.0013411901554462452,0.1298993702659931,0.08812114694602864,0.9964789077583237,0.0002552941558666456,0.9517898881008199,0.05658462605925414
